ABZ	MAN	266
AUH	FRA	3024
ACA	ORD	1880
ACC	FRA	3115
ADD	FRA	3327
CAK	ORD	342
ALS	DEN	179
ALB	CLT	646
ALB	ORD	721
ALB	MSP	977
ALB	OAK	2544
ALB	PHL	212
ALB	PIT	367
ALB	PDX	2391
ALB	SAN	2442
ALB	SEA	2351
ALB	YVR	2371
ALB	IAD	325
ABQ	ATL	1267
ABQ	DEN	349
ABQ	DSM	832
ABQ	DTW	1345
ABQ	MCI	717
ABQ	EWR	1803
ABQ	OMA	725
ABQ	STL	933
ABQ	ICT	541
ALY	FRA	1707
ABE	CLT	481
ABE	ORD	653
ABE	IAD	159
ALA	FRA	3165
AMA	DEN	359
AMM	FRA	1893
AMS	ORD	4112
AMS	CPH	394
AMS	DEN	4803
AMS	FRA	227
AMS	LHR	230
AMS	LAX	5570
AMS	MUC	413
AMS	OSL	596
AMS	PHL	3730
AMS	ARN	716
AMS	IAD	3861
ANC	ORD	2841
ANC	DEN	2403
ANC	DTW	2981
ANC	SFO	2017
ANC	SEA	1446
ANC	YVR	1328
AOI	MUC	336
CDG	QXG	178
ESB	MUC	1189
ANU	PHL	1767
AKL	APW	1798
APW	LAX	4830
ATW	ORD	160
AUA	CLT	1713
AUA	ORD	2305
AUA	MSP	2624
AUA	PHL	1919
ASB	FRA	2559
ASM	FRA	2942
ASE	DEN	125
ANC	ATL	3413
ATL	YYC	1913
ATL	CLT	226
ATL	ORD	607
ATL	DFW	730
ATL	DEN	1198
ATL	FRA	4608
ATL	IAH	689
ATL	MCI	692
ATL	ONT	1897
ATL	PHL	666
ATL	PHX	1585
ATL	PIT	527
ATL	SFO	2136
ATL	SJC	2113
ATL	SEA	2180
ATL	YYZ	740
ATL	YVR	2246
ATL	IAD	534
AKL	APW	1798
AKL	BNE	1427
AKL	CNS	2251
AKL	CHC	463
AKL	DUD	661
AKL	HNL	4409
AKL	LAX	6523
AKL	MEL	1640
AKL	NAN	1341
AKL	PER	3319
AKL	ZQN	637
AKL	RAR	1875
AKL	SYD	1343
AKL	WLG	298
AGS	CLT	140
AUS	ORD	979
AUS	DEN	776
AUS	OAK	1496
AUS	ONT	1195
AUS	SJC	1475
AUS	YVR	1872
CDG	XZN	3393
BFL	LAX	109
BFL	SFO	238
BAK	FRA	2094
BWI	YYC	1973
BWI	CLT	361
BWI	ORD	620
BWI	DEN	1488
BWI	LAS	2103
BWI	LAX	2326
BWI	OAK	2443
BWI	ONT	2280
BWI	PHL	90
BWI	PIT	210
BWI	SAN	2292
BWI	SFO	2453
BWI	SEA	2331
BWI	YYZ	347
BLR	FRA	4615
BKK	DEN	8390
BKK	FRA	5579
BKK	SGN	461
BKK	LHR	5939
BKK	LAX	8260
BKK	SFO	7924
BKK	SEA	7447
BKK	NRT	2889
BKK	IAD	8791
BRI	MUC	555
ORD	PEK	6570
DEN	PEK	6339
JFK	PEK	6829
PEK	SFO	5905
PEK	SEA	5398
NRT	PEK	1327
IAD	PEK	6912
Cit	LHR	312
BZE	CLT	1303
BGO	CPH	422
BRU	TXL	393
FRA	TXL	268
MUC	TXL	298
BDA	CLT	954
BDA	FLL	1029
BDA	PHL	785
BDA	DCA	826
BIL	DFW	1082
BIL	DEN	455
BIL	PHL	1724
BIL	STL	1047
BGM	IAD	238
BHM	ORD	585
BIS	DEN	517
BMI	ORD	116
AUS	BOI	1375
BOI	BUF	1873
BOI	ORD	1435
BOI	CLE	1747
BOI	COS	683
BOI	DEN	648
BOI	MCI	1150
BOI	MSP	1140
BOI	SFO	522
BOI	TUS	842
BLQ	MUC	265
CDG	ZFQ	324
BOS	ORD	865
BOS	DEN	1751
BOS	FRA	3663
BOS	YHZ	413
BOS	OGG	5036
BOS	KOA	5068
BOS	LIH	5132
BOS	LAX	2608
BOS	MEX	2279
BOS	YUL	254
BOS	MUC	3844
BOS	LGA	184
BOS	OAK	2689
BOS	SNA	2589
BOS	PDX	2533
BOS	RNO	2520
BOS	GIG	4503
BOS	SMF	2632
BOS	SLC	2102
BOS	SFO	2700
BOS	SJC	2685
BOS	GRU	4813
BOS	SEA	2491
BOS	ICN	6820
BOS	SIN	9409
BOS	NRT	6693
BOS	YYZ	445
BOS	YVR	2509
BOS	IAD	412
BOS	DCA	399
BZN	DEN	524
BSB	GRU	532
BRE	FRA	208
BGI	PHL	2086
AKL	BNE	1427
BNE	SYD	468
BRU	TXL	393
BRU	ORD	4152
BRU	CPH	469
BRU	FRA	189
BRU	HAM	299
BRU	LHR	218
BRU	MUC	371
BRU	SFO	5531
BRU	SEA	4949
BRU	VRN	481
BRU	IAD	3885
FRA	OTP	901
MUC	OTP	728
BUD	FRA	519
EZE	ORD	5628
EZE	MIA	4428
EZE	MVD	142
EZE	LGA	5319
EZE	IAD	5243
BUF	CLT	547
BUF	ORD	472
BUF	DFW	1212
BUF	MSP	733
BUF	PHL	278
BUF	PIT	186
BUF	SAT	1433
BUF	SAN	2194
BUF	IAD	284
BUR	ORD	1732
BUR	DEN	849
BUR	DSM	1434
BUR	LAS	223
BUR	SFO	326
BUR	SEA	939
BUR	TUL	1274
BTV	ORD	762
BTV	SJC	2557
BTV	SEA	2332
BTV	IAD	442
ICN	PUS	210
AKL	CNS	2251
CAI	FRA	1818
BWI	YYC	1973
ORD	YYC	1383
DEN	YYC	899
DSM	YYC	1170
IAH	YYC	1749
LAX	YYC	1208
SFO	YYC	1019
CUN	LAX	2119
CUN	MEX	798
CUN	MIA	531
CPT	FRA	5842
CLD	LAX	86
CPR	DEN	230
CID	ORD	195
CID	DEN	691
CDR	DEN	221
CHS	CLT	168
CHS	ORD	761
CHS	IAD	442
CRW	ORD	416
CRW	IAD	226
ALB	CLT	646
ABE	CLT	481
AUA	CLT	1713
ATL	CLT	226
AGS	CLT	140
BWI	CLT	361
BZE	CLT	1303
BDA	CLT	954
BUF	CLT	547
CLT	YYC	1972
CHS	CLT	168
CLT	ORD	600
